City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,dunedin,-45.8742,170.5036,13.8,99,100,3.66,NZ,1744984219
238,afaahiti,-17.75,-149.2833,26.0,81,100,8.31,PF,1744984219
239,gozyeri,40.866,32.5417,18.82,33,14,4.84,TR,1744984219
240,ust-nera,64.5667,143.2,-13.86,96,43,1.8,RU,1744984219
241,weno,7.4515,151.8468,27.97,83,75,2.06,FM,1744984220
242,wakema,16.6,95.1833,28.48,68,35,4.82,MM,1744984220
243,mount holly,35.2982,-81.0159,18.72,72,5,0.89,US,1744984220
244,pontinia,41.4109,13.0441,16.78,76,75,2.24,IT,1744984220
245,torres,-29.3353,-49.7269,25.78,71,0,1.37,BR,1744984220
246,kenai,60.5544,-151.2583,1.19,100,100,0.0,US,1744984220
247,boguchany,58.3814,97.4531,-2.4,71,56,4.45,RU,1744984220
248,rio grande,-32.035,-52.0986,23.78,76,10,1.11,BR,1744984044
249,thompson,55.7435,-97.8558,-13.91,78,75,4.63,CA,1744984089
250,riyadh,24.6877,46.7219,29.89,16,3,5.12,SA,1744983901
251,portland,45.5234,-122.6762,8.53,73,0,0.89,US,1744984182
252,puerto baquerizo moreno,-0.9,-89.6,24.98,88,47,3.09,EC,1744984028
253,sainte-anne-des-monts,49.124,-66.4924,0.93,69,43,9.77,CA,1744984221
254,zapata,26.9073,-99.2714,24.36,68,57,8.74,US,1744984222
255,cabo san lucas,22.8909,-109.9124,21.25,60,95,4.85,MX,1744984222
256,pasni,25.2631,63.471,27.62,75,0,11.11,PK,1744984222
257,al 'amarah,31.8406,47.1396,29.86,12,0,3.51,IQ,1744984222
258,zalingei,12.9096,23.4741,37.13,6,26,2.65,SD,1744984223
259,ataq,14.5377,46.8319,29.75,29,1,9.15,YE,1744984223
260,fuerte olimpo,-21.0415,-57.8738,29.78,71,2,3.73,PY,1744984223
261,tromso,69.6496,18.957,3.01,81,75,4.12,NO,1744984223
262,mahdia,35.5047,11.0622,22.37,45,100,6.76,TN,1744984223
263,sinabang,2.4803,96.3801,27.19,81,51,2.08,ID,1744984223
264,gazi,35.3253,25.0669,22.0,67,20,4.63,GR,1744984223
265,panauti,27.5814,85.5124,20.18,78,20,2.06,NP,1744984223
266,al ghayzah,16.2079,52.176,29.45,56,0,7.28,YE,1744984224
267,gagarin,55.5529,34.9954,21.99,59,56,4.87,RU,1744984224
268,dzhambeyty,50.2536,52.595,20.63,41,93,4.05,KZ,1744984224
269,beira,-19.8436,34.8389,25.05,88,100,5.81,MZ,1744984132
270,carnarvon,-24.8667,113.6333,23.28,63,0,11.45,AU,1744984224
271,poronaysk,49.2167,143.1167,0.24,85,26,1.36,RU,1744984224
272,bandar abbas,27.1865,56.2808,28.99,58,0,7.2,IR,1744984224
